zone_id,borough
1,EWR
3,Bronx
18,Bronx
20,Bronx
31,Bronx
32,Bronx
46,Bronx
47,Bronx
51,Bronx
58,Bronx
59,Bronx
60,Bronx
69,Bronx
78,Bronx
81,Bronx
94,Bronx
119,Bronx
126,Bronx
136,Bronx
147,Bronx
159,Bronx
167,Bronx
168,Bronx
169,Bronx
174,Bronx
182,Bronx
183,Bronx
184,Bronx
185,Bronx
199,Bronx
200,Bronx
208,Bronx
212,Bronx
213,Bronx
220,Bronx
235,Bronx
240,Bronx
241,Bronx
242,Bronx
247,Bronx
248,Bronx
250,Bronx
254,Bronx
259,Bronx
2,Queens
7,Queens
8,Queens
9,Queens
10,Queens
15,Queens
16,Queens
19,Queens
27,Queens
28,Queens
30,Queens
38,Queens
53,Queens
56,Queens
56,Queens
64,Queens
70,Queens
73,Queens
82,Queens
83,Queens
86,Queens
92,Queens
93,Queens
95,Queens
96,Queens
98,Queens
101,Queens
102,Queens
117,Queens
121,Queens
122,Queens
124,Queens
129,Queens
130,Queens
131,Queens
132,Queens
134,Queens
135,Queens
138,Queens
139,Queens
145,Queens
146,Queens
157,Queens
160,Queens
171,Queens
173,Queens
175,Queens
179,Queens
180,Queens
191,Queens
192,Queens
193,Queens
196,Queens
197,Queens
198,Queens
201,Queens
203,Queens
205,Queens
207,Queens
215,Queens
216,Queens
218,Queens
219,Queens
223,Queens
226,Queens
252,Queens
253,Queens
258,Queens
260,Queens
11,Brooklyn
14,Brooklyn
17,Brooklyn
21,Brooklyn
22,Brooklyn
25,Brooklyn
26,Brooklyn
29,Brooklyn
33,Brooklyn
34,Brooklyn
35,Brooklyn
36,Brooklyn
37,Brooklyn
39,Brooklyn
40,Brooklyn
49,Brooklyn
52,Brooklyn
54,Brooklyn
55,Brooklyn
61,Brooklyn
62,Brooklyn
63,Brooklyn
65,Brooklyn
66,Brooklyn
67,Brooklyn
71,Brooklyn
72,Brooklyn
76,Brooklyn
77,Brooklyn
80,Brooklyn
85,Brooklyn
89,Brooklyn
91,Brooklyn
97,Brooklyn
106,Brooklyn
108,Brooklyn
111,Brooklyn
112,Brooklyn
123,Brooklyn
133,Brooklyn
149,Brooklyn
150,Brooklyn
154,Brooklyn
155,Brooklyn
165,Brooklyn
177,Brooklyn
178,Brooklyn
181,Brooklyn
188,Brooklyn
189,Brooklyn
190,Brooklyn
195,Brooklyn
210,Brooklyn
217,Brooklyn
222,Brooklyn
225,Brooklyn
227,Brooklyn
228,Brooklyn
255,Brooklyn
256,Brooklyn
257,Brooklyn
4,Manhattan
12,Manhattan
13,Manhattan
24,Manhattan
41,Manhattan
42,Manhattan
43,Manhattan
45,Manhattan
48,Manhattan
50,Manhattan
68,Manhattan
74,Manhattan
75,Manhattan
79,Manhattan
87,Manhattan
88,Manhattan
90,Manhattan
100,Manhattan
103,Manhattan
103,Manhattan
103,Manhattan
107,Manhattan
113,Manhattan
114,Manhattan
116,Manhattan
120,Manhattan
125,Manhattan
127,Manhattan
128,Manhattan
137,Manhattan
140,Manhattan
141,Manhattan
142,Manhattan
143,Manhattan
144,Manhattan
148,Manhattan
151,Manhattan
152,Manhattan
153,Manhattan
158,Manhattan
161,Manhattan
162,Manhattan
163,Manhattan
164,Manhattan
166,Manhattan
170,Manhattan
186,Manhattan
194,Manhattan
202,Manhattan
209,Manhattan
211,Manhattan
224,Manhattan
229,Manhattan
230,Manhattan
231,Manhattan
232,Manhattan
233,Manhattan
234,Manhattan
236,Manhattan
237,Manhattan
238,Manhattan
239,Manhattan
243,Manhattan
244,Manhattan
246,Manhattan
249,Manhattan
261,Manhattan
262,Manhattan
263,Manhattan
5,Staten Island
6,Staten Island
23,Staten Island
44,Staten Island
84,Staten Island
99,Staten Island
109,Staten Island
110,Staten Island
115,Staten Island
118,Staten Island
156,Staten Island
172,Staten Island
176,Staten Island
187,Staten Island
204,Staten Island
206,Staten Island
214,Staten Island
221,Staten Island
245,Staten Island
251,Staten Island
